监测点位,X,Y,Z,采样深度/m,上层深度,下层深度,样品编号,pH值,苯并(a)芘,苯并(a)蒽,苯并(b)荧蒽,"二苯并(a,h)蒽","茚并(1,2,3-c,d)芘",萘,苯,乙苯,石油烃(C10-C40),砷,数据来源,2米分层（详查）,地面高程/m
JM(W-S16)3,3649.8341,7666.7303,8,7.5-8.0,7.5,8,,/,/,/,/,/,/,/,ND,/,/,,工作井以北,8,
JM2(S12),3644.48998,7652.15969,0.5,0-0.5,0,0.5,,/,0.2,0.3,0.4,ND,0.2,1.92,ND,ND,/,,工作井以北,2,
JM2(S12),3644.48998,7652.15969,1.5,1.0-1.5,1,1.5,,/,4.2,10,6.4,1.2,2.6,2.99,ND,ND,/,,工作井以北,2,
JM2(S12),3644.48998,7652.15969,4,3.5-4.0,3.5,4,,/,ND,ND,ND,ND,ND,ND,/,/,/,,工作井以北,4,
JM(W-S16)4,3656.9027,7647.9459,0.5,0-0.5,0,0.5,,/,/,/,/,/,/,/,ND,ND,/,,工作井以北,2,
JM(W-S16)4,3656.9027,7647.9459,1.5,1.0-1.5,1,1.5,,/,/,/,/,/,/,/,1.04,4.15,/,,工作井以北,2,
JM(W-S16)4,3656.9027,7647.9459,4,3.5-4.0,3.5,4,,/,/,/,/,/,/,/,2.4,4.09,/,,工作井以北,4,
JM(W-S16)4,3656.9027,7647.9459,6,5.5-6.0,5.5,6,,/,/,/,/,/,/,/,ND,ND,/,,工作井以北,6,
JM(W-S16)2,3668.2489,7673.9911,0.5,0-0.5,0,0.5,,/,0.6,0.6,0.8,ND,0.3,0.49,ND,ND,/,,工作井以北,2,
JM(W-S16)2,3668.2489,7673.9911,1.5,1.0-1.5,1,1.5,,/,1.605708273,1.91979437,2.162755899,0.325466028,0.68507185,0.38634866,ND,ND,/,,工作井以北,2,
JM(W-S16)2,3668.2489,7673.9911,4,3.5-4.0,3.5,4,,/,ND,ND,ND,ND,ND,ND,ND,ND,/,,工作井以北,4,
JM(W-S16)2,3668.2489,7673.9911,6,5.5-6.0,5.5,6,,/,ND,ND,ND,ND,ND,ND,ND,ND,/,,工作井以北,6,
W-S16 (W-MW4),3662.866,7661.5568,0.2,0-0.2,0,0.2,,8.33,0.4,0.3,0.4,0.13,0.3,0.43,0.0994,ND,265,15.5,工作井以北,2,
W-S16 (W-MW4),3662.866,7661.5568,1,0.5-1.0,0.5,1,,9.08,ND,ND,ND,ND,ND,7.85,5.01,20.5,360,7.93,工作井以北,2,
W-S16 (W-MW4),3662.866,7661.5568,3.5,3.0-3.5,3,3.5,,9.07,0.1,0.2,ND,ND,ND,4.89,6.73,36.2,157,5.35,工作井以北,4,
W-S16 (W-MW4),3662.866,7661.5568,4,3.5-4.0,3.5,4,,/,/,/,/,/,/,/,10.1,ND,/,,工作井以北,4,
W-S16 (W-MW4),3662.866,7661.5568,6,5.5-6.0,5.5,6,,/,/,/,/,/,/,/,0.2,2.11,/,,工作井以北,6,
JM(R1-S3)1,3685.1702,7680.3777,0.5,0-0.5,0,0.5,,/,0.3,0.4,0.4,ND,0.4,1.09,/,/,/,,工作井以北,2,
JM(R1-S3)1,3685.1702,7680.3777,1.5,1.0-1.5,1,1.5,,/,0.2,0.3,0.3,ND,0.2,0.43,/,/,/,,工作井以北,2,
JM(R1-S3)1,3685.1702,7680.3777,4,3.5-4.0,3.5,4,,/,ND,ND,ND,ND,ND,0.18,/,/,/,,工作井以北,4,
JM(R1-S3)1,3685.1702,7680.3777,6,5.5-6.0,5.5,6,,/,ND,ND,ND,ND,ND,ND,/,/,/,,工作井以北,6,
JM2(S7),3681.488,7668.7303,0.5,0-0.5,0,0.5,,/,ND,ND,ND,ND,ND,0.55,/,/,/,,工作井以北,2,
JM2(S7),3681.488,7668.7303,1.5,1.0-1.5,1,1.5,,/,2.6,6.4,3.6,0.6,1.7,6.07,/,/,/,,工作井以北,2,
JM2(S7),3681.488,7668.7303,4,3.5-4.0,3.5,4,,/,0.56438954,0.787738007,0.777038679,ND,0.308274381,ND,/,/,/,,工作井以北,4,
JM(W-S16)1,3676.1004,7656.337,0.5,0-0.5,0,0.5,,/,/,/,/,/,/,/,ND,ND,/,,工作井以北,2,
JM(W-S16)1,3676.1004,7656.337,1.5,1.0-1.5,1,1.5,,/,/,/,/,/,/,/,ND,ND,/,,工作井以北,2,
JM(W-S16)1,3676.1004,7656.337,4,3.5-4.0,3.5,4,,/,/,/,/,/,/,/,ND,ND,/,,工作井以北,4,
JM(W-S16)1,3676.1004,7656.337,6,5.5-6.0,5.5,6,,/,/,/,/,/,/,/,ND,ND,/,,工作井以北,6,
W-S15,3695.8259,7672.1508,0.5,0-0.5,0,0.5,,8.55,1.2,1.2,1.6,0.29,0.6,0.44,0.101,ND,94,15.3,工作井以北,2,
W-S15,3695.8259,7672.1508,1.5,1.0-1.5,1,1.5,,8.94,0.3,0.4,0.5,0.08,0.2,0.25,0.34,0.0785,182,10,工作井以北,2,
W-S15,3695.8259,7672.1508,4,3.5-4.0,3.5,4,,8.8,ND,ND,ND,ND,ND,ND,ND,ND,46,6.71,工作井以北,4,
JM3(S1),3692.9413,7660.5129,0.5,0-0.5,0,0.5,,/,ND,ND,ND,ND,ND,ND,/,/,/,,工作井以北,2,
JM3(S1),3692.9413,7660.5129,1.5,1.0-1.5,1,1.5,,/,ND,ND,ND,ND,ND,ND,/,/,/,,工作井以北,2,
W-S10,3727.7818,7639.2362,0.2,0-0.2,0,0.2,,8.5,0.2,0.1,0.2,ND,ND,ND,ND,ND,147,9.86,工作井以北,2,
W-S10,3727.7818,7639.2362,1.5,1.0-1.5,1,1.5,,8.68,ND,ND,ND,ND,ND,ND,ND,ND,60,14.4,工作井以北,2,
W-S10,3727.7818,7639.2362,5,4.5-5.0,4.5,5,,9.06,ND,ND,ND,ND,ND,ND,ND,ND,50,4.04,工作井以北,6,
W-S5,3749.2015,7613.8257,0.2,0-0.2,0,0.2,,8.49,ND,ND,ND,ND,ND,ND,ND,ND,193,14.2,工作井以北,2,
W-S5,3749.2015,7613.8257,1,0.5-1.0,0.5,1,,8.69,ND,ND,ND,ND,ND,ND,ND,ND,429,7.21,工作井以北,2,
W-S5,3749.2015,7613.8257,5,4.5-5.0,4.5,5,,8.77,ND,ND,ND,ND,ND,ND,ND,ND,47,8.11,工作井以北,6,
E-S1,3559.9383,7773.6595,0.2,0.2,0,0.2,,8.37,6.7,4.7,7.7,1.26,4.2,2.19,0.45,<0.0012,586,12.6,煤气厂,,
E-S1,3559.9383,7773.6595,1.5,1.5,1.3,1.5,,8.54,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,<0.0012,51,5.27,煤气厂,,
E-S1,3559.9383,7773.6595,4,4,3.8,4,,8.63,<0.1,<0.1,<0.2,<0.05,<0.1,0.27,0.94,<0.0012,31,5.6,煤气厂,,
E-S2,3475.9285,7742.795,0.2,0.2,0,0.2,,8.31,178,147,147,21.4,98,139,0.1,0.14,1770,14.7,煤气厂,,
E-S2,3475.9285,7742.795,1,1,0.8,1,,8.47,6.8,5,4,0.66,2.1,29.4,<0.0019,<0.0012,200,6.6,煤气厂,,
E-S2,3475.9285,7742.795,5,5,4.8,5,,8.63,0.2,0.1,<0.2,<0.05,<0.1,0.24,<0.0019,<0.0012,53,6.1,煤气厂,,
E-S3,3507.9557,7766.1791,0.2,0.2,0,0.2,,8.6,4.7,3.4,4.6,0.97,3.1,1.7,<0.0019,<0.0012,399,18.2,煤气厂,,
E-S3,3507.9557,7766.1791,1,1,0.8,1,,8.52,1.2,0.9,1.2,0.16,0.6,0.21,<0.0019,0.15,179,9.04,煤气厂,,
E-S3,3507.9557,7766.1791,4,4,3.8,4,,8.43,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,<0.0012,39,10.6,煤气厂,,
E-S4 (E-MW1),3524.7026,7801.5213,0.2,0.2,0,0.2,,8.22,2.7,2.4,3.5,0.48,1.6,0.42,<0.0019,<0.0012,259,12.9,煤气厂,,
E-S4 (E-MW1),3524.7026,7801.5213,1.2,1.2,1,1.2,,8.46,2.1,1.9,1.7,0.26,0.8,4.57,<0.0019,0.07,297,13.8,煤气厂,,
E-S4 (E-MW1),3524.7026,7801.5213,5,5,4.8,5,,8.72,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,0.07,26,7.7,煤气厂,,
E-S5 (E-MW2),3416.3366,7741.1964,0.2,0.2,0,0.2,,8.43,5.1,3.9,4.3,1.1,3.4,2.07,0.06,<0.0012,327,11.1,煤气厂,,
E-S5 (E-MW2),3416.3366,7741.1964,1,1,0.8,1,,8.97,5,3.6,2.9,0.42,0.5,295,0.06,5.1,693,7.45,煤气厂,,
E-S5 (E-MW2),3416.3366,7741.1964,6,6,5.8,6,,8.95,1.7,1.7,1.3,0.28,0.9,37.6,0.06,5.45,242,6.78,煤气厂,,
E-S6,3435.6147,7761.9894,0.2,0.2,0,0.2,,8.62,0.3,0.2,0.3,0.06,0.2,0.24,<0.0019,<0.0012,78,8.41,煤气厂,,
E-S6,3435.6147,7761.9894,1,1,0.8,1,,8.44,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,<0.0012,58,7.16,煤气厂,,
E-S6,3435.6147,7761.9894,4,4,3.8,4,,8.61,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,<0.0012,41,5.96,煤气厂,,
E-S7 (E-MW3),3463.0828,7791.1484,0.2,0.2,0,0.2,,8.5,24.2,15.5,24.7,3.15,12.7,10.3,0.11,<0.0012,444,17.7,煤气厂,,
E-S7 (E-MW3),3463.0828,7791.1484,1,1,0.8,1,,8.75,1.6,0.8,1.2,0.19,0.6,1.27,<0.0019,<0.0012,45,6.09,煤气厂,,
E-S7 (E-MW3),3463.0828,7791.1484,4,4,3.8,4,,8.52,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,<0.0012,26,6.79,煤气厂,,
E-S8,3492.7088,7829.2609,0.2,0.2,0,0.2,,8.5,2.2,1.7,3,0.49,1.4,1.25,<0.0019,0.1,265,26.4,煤气厂,,
E-S8,3492.7088,7829.2609,1,1,0.8,1,,8.41,0.5,0.5,0.6,0.16,0.5,1.17,<0.0019,0.06,345,30.7,煤气厂,,
E-S8,3492.7088,7829.2609,5,5,4.8,5,,8.72,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,<0.0012,39,7.71,煤气厂,,
M-S1 (M-MW1),3535.7455,7585.0891,0.2,0.2,0,0.2,,8.43,0.5,0.5,0.8,0.13,0.4,0.15,<0.0019,<0.0012,448,19.5,煤气厂,,
M-S1 (M-MW1),3535.7455,7585.0891,1,1,0.8,1,,9.06,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,0.08,74,10.5,煤气厂,,
M-S1 (M-MW1),3535.7455,7585.0891,5,5,4.8,5,,8.48,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,<0.0012,59,5.68,煤气厂,,
M-S2,3554.3632,7605.4636,0.2,0.2,0,0.2,,8.67,0.3,0.2,0.3,0.09,0.2,0.37,<0.0019,<0.0012,58,9.67,煤气厂,,
M-S2,3554.3632,7605.4636,1.5,1.5,1.3,1.5,,8.38,0.3,0.3,0.5,0.1,0.2,0.6,<0.0019,<0.0012,55,17.4,煤气厂,,
M-S2,3554.3632,7605.4636,5,5,4.8,5,,8.71,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,<0.0012,33,5.73,煤气厂,,
M-S3,3580.0902,7646.5839,0.2,0.2,0,0.2,,8.43,1.3,1.1,1.5,0.24,0.6,0.48,<0.0019,<0.0012,168,8.87,煤气厂,,
M-S3,3580.0902,7646.5839,1,1,0.8,1,,8.54,0.4,0.3,0.5,0.09,0.2,0.29,<0.0019,<0.0012,270,18.6,煤气厂,,
M-S3,3580.0902,7646.5839,5,5,4.8,5,,8.96,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,<0.0012,30,6.32,煤气厂,,
M-S4,3598.2414,7674.4823,0.5,0.5,0.3,0.5,,8.4,1.8,1.5,2.2,0.32,1,3.47,1.04,0.19,360,35.1,煤气厂,,
M-S4,3598.2414,7674.4823,1,1,0.8,1,,8.81,0.1,0.3,0.2,<0.05,<0.1,32.7,5.64,4.97,1060,8.29,煤气厂,,
M-S4,3598.2414,7674.4823,5,5,4.8,5,,8.78,<0.1,<0.1,<0.2,<0.05,<0.1,0.4,1.66,0.31,61,5.08,煤气厂,,
M-S5,3635.0731,7698.4312,0.2,0.2,0,0.2,,8.34,<0.1,<0.1,<0.2,<0.05,<0.1,0.12,0.14,<0.0012,39,18.4,煤气厂,,
M-S5,3635.0731,7698.4312,2,2,1.8,2,,10.5,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,2.07,<0.0012,40,9.05,煤气厂,,
M-S5,3635.0731,7698.4312,4,4,3.8,4,,10.83,<0.1,<0.1,<0.2,<0.05,<0.1,0.78,0.85,<0.0012,57,6.12,煤气厂,,
M-S6,3493.9,7616.3544,0.2,0.2,0,0.2,,8.4,0.3,0.3,0.4,0.08,0.3,<0.09,<0.0019,0.12,118,4.65,煤气厂,,
M-S6,3493.9,7616.3544,1,1,0.8,1,,8.36,0.2,0.2,0.3,<0.05,0.2,<0.09,<0.0019,0.06,134,10.9,煤气厂,,
M-S6,3493.9,7616.3544,5,5,4.8,5,,8.68,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,0.14,34,7.47,煤气厂,,
M-S7 (M-MW2),3541.6066,7640.5099,0.2,0.2,0,0.2,,8.24,0.9,0.7,1.5,0.28,0.8,1.6,0.05,0.12,516,12.8,煤气厂,,
M-S7 (M-MW2),3541.6066,7640.5099,1,1,0.8,1,,7.91,0.2,0.2,0.5,0.09,0.3,0.63,0.07,0.14,1400,32.6,煤气厂,,
M-S7 (M-MW2),3541.6066,7640.5099,5,5,4.8,5,,8.54,4.2,1.3,3.3,1.16,3.7,0.41,<0.0019,0.08,634,6.86,煤气厂,,
M-S8,3542.5673,7664.8309,0.2,0.2,0,0.2,,8.56,4.7,2.9,5.6,0.85,2.9,4.12,0.73,0.5,343,19.3,煤气厂,,
M-S8,3542.5673,7664.8309,1,1,0.8,1,,8.7,0.2,0.2,0.2,<0.05,<0.1,18.1,0.18,0.21,138,7.99,煤气厂,,
M-S8,3542.5673,7664.8309,4,4,3.8,4,,8.61,<0.1,<0.1,<0.2,<0.05,<0.1,1.28,<0.0019,<0.0012,38,6.22,煤气厂,,
M-S9,3570.1109,7712.0744,0.5,0.5,0.3,0.5,,8.25,6.8,3.4,9.3,1.64,5,9.88,<0.0019,<0.0012,375,65.8,煤气厂,,
M-S9,3570.1109,7712.0744,1.5,1.5,1.3,1.5,,8.67,<0.1,<0.1,<0.2,<0.05,<0.1,1,1.31,0.14,64,7.64,煤气厂,,
M-S9,3570.1109,7712.0744,5,5,4.8,5,,8.52,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,0.28,<0.0012,32,6.71,煤气厂,,
M-S10 (M-MW3),3603.7451,7744.8732,0.2,0.2,0,0.2,,4.32,3,2.5,5.9,2.33,4.1,2.26,0.58,<0.0012,476,327,煤气厂,,
M-S10 (M-MW3),3603.7451,7744.8732,1,1,0.8,1,,9.1,<0.1,<0.1,<0.2,<0.05,<0.1,11.5,2.75,0.14,463,95.5,煤气厂,,
M-S10 (M-MW3),3603.7451,7744.8732,4,4,3.8,4,,8.66,<0.1,<0.1,<0.2,<0.05,<0.1,2.63,3.19,<0.0012,77,428,煤气厂,,
M-S11,3465.7039,7638.7363,0.2,0.2,0,0.2,,8.44,0.8,0.8,1,0.14,0.6,<0.09,<0.0019,0.1,84,7.5,煤气厂,,
M-S11,3465.7039,7638.7363,1,1,0.8,1,,8.57,0.6,0.7,0.7,0.13,0.4,<0.09,<0.0019,0.12,98,12.9,煤气厂,,
M-S11,3465.7039,7638.7363,5,5,4.8,5,,8.57,3.5,2,2.9,0.43,2.3,0.47,<0.0019,<0.0012,93,7.67,煤气厂,,
M-S12 (M-MW4),3496.4883,7649.2294,0.2,0.2,0,0.2,,8.33,0.9,0.8,1.5,0.25,0.7,0.43,0.04,0.1,447,12.8,煤气厂,,
M-S12 (M-MW4),3496.4883,7649.2294,1,1,0.8,1,,8.51,0.6,0.6,1,0.15,0.5,0.57,<0.0019,<0.0012,651,13.5,煤气厂,,
M-S12 (M-MW4),3496.4883,7649.2294,5,5,4.8,5,,8.6,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,0.51,104,6.9,煤气厂,,
M-S13,3532.0654,7700.3537,0.2,0.2,0,0.2,,8.3,8.5,2.9,8,8.78,3.6,1.64,1.13,0.49,401,32.9,煤气厂,,
M-S13,3532.0654,7700.3537,1,1,0.8,1,,8.41,<0.1,<0.1,<0.2,<0.05,<0.1,0.17,0.21,<0.0012,70,11.4,煤气厂,,
M-S13,3532.0654,7700.3537,4,4,3.8,4,,8.17,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,<0.0012,36,7.56,煤气厂,,
M-S14,3556.2889,7735.0865,0.2,0.2,0,0.2,,8.48,9.4,8,16,1.26,4.7,6.33,1.18,0.49,421,19,煤气厂,,
M-S14,3556.2889,7735.0865,1,1,0.8,1,,8.56,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,0.7,<0.0012,67,6.93,煤气厂,,
M-S14,3556.2889,7735.0865,4,4,3.8,4,,8.17,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,0.99,<0.0012,61,5.54,煤气厂,,
M-S15,3445.8676,7668.6226,0.2,0.2,0,0.2,,8.5,0.4,0.3,0.5,0.07,0.2,0.11,<0.0019,<0.0012,101,7.2,煤气厂,,
M-S15,3445.8676,7668.6226,1,1,0.8,1,,9.13,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,0.12,36,11.9,煤气厂,,
M-S15,3445.8676,7668.6226,5,5,4.8,5,,8.67,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,0.03,30,5.86,煤气厂,,
M-S16 (M-MW5),3468.3564,7701.1037,0.2,0.2,0,0.2,,8.37,7.9,4.2,10.7,1.17,4.3,4.06,0.27,<0.0012,700,19,煤气厂,,
M-S16 (M-MW5),3468.3564,7701.1037,1,1,0.8,1,,8.74,55.2,37.2,43.9,4.6,19,536,10.5,27.7,1770,8.93,煤气厂,,
M-S16 (M-MW5),3468.3564,7701.1037,5,5,4.8,5,,8.53,<0.1,<0.1,<0.2,<0.05,<0.1,0.33,<0.0019,1.54,83,5.8,煤气厂,,
M-S17,3499.1611,7713.4318,0.2,0.2,0,0.2,,8.22,13.5,9.9,13.5,1.35,5,5.81,0.17,<0.0012,988,15.8,煤气厂,,
M-S17,3499.1611,7713.4318,1,1,0.8,1,,8.43,0.5,0.4,0.4,0.09,0.3,0.34,<0.0019,<0.0012,119,18.9,煤气厂,,
M-S17,3499.1611,7713.4318,5,5,4.8,5,,8.51,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,<0.0012,47,7.38,煤气厂,,
M-S18,3417.0414,7692.2891,0.2,0.2,0,0.2,,8.74,0.2,0.2,0.3,<0.05,0.2,0.17,<0.0019,0.26,60,9.44,煤气厂,,
M-S18,3417.0414,7692.2891,1,1,0.8,1,,8.23,0.4,0.4,0.5,0.09,0.3,0.46,<0.0019,<0.0012,85,19.8,煤气厂,,
M-S18,3417.0414,7692.2891,5,5,4.8,5,,8.54,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,<0.0012,33,10,煤气厂,,
R1-S1 (R1-MW1),3593.9478,7605.7236,0.2,0.2,0,0.2,,8.17,0.5,0.4,0.8,0.15,0.4,1.64,<0.0019,<0.0012,672,16.4,煤气厂,,
R1-S1 (R1-MW1),3593.9478,7605.7236,1,1,0.8,1,,8.86,0.5,0.7,0.6,0.08,0.2,0.29,<0.0019,<0.0012,35,17.5,煤气厂,,
R1-S1 (R1-MW1),3593.9478,7605.7236,5,5,4.8,5,,9.08,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,<0.0012,39,6.69,煤气厂,,
R1-S2,3623.3859,7646.9076,0.2,0.2,0,0.2,,8.3,0.3,0.2,0.5,0.09,0.3,11.4,4.34,1.81,495,25.2,煤气厂,,
R1-S2,3623.3859,7646.9076,1.4,1.4,1.2,1.4,,8.44,5.1,5.8,7.6,0.53,1.5,40.2,0.13,0.05,546,24.5,煤气厂,,
R1-S2,3623.3859,7646.9076,4,4,3.8,4,,8.93,<0.1,<0.1,<0.2,<0.05,<0.1,0.84,0.15,<0.0012,56,6.09,煤气厂,,
R1-S3,3432.6017,7716.0326,0.2,0.2,0,0.2,,8.5,29.4,14.1,19.1,4.19,8.7,8.09,0.2,0.09,643,15.9,煤气厂,,
R1-S3,3432.6017,7716.0326,1,1,0.8,1,,8.45,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,<0.0012,130,9.55,煤气厂,,
R1-S3,3432.6017,7716.0326,5,5,4.8,5,,8.57,16.5,11.2,9.8,2.1,8.7,167,0.13,14.6,480,7.7,煤气厂,,
R2-S1,3580.5327,7759.8192,0.2,0.2,0,0.2,,8.22,31.7,20.3,37.9,5.18,17.3,16.8,1.09,0.04,407,31.3,煤气厂,,
R2-S1,3580.5327,7759.8192,1,1,0.8,1,,8.03,1.6,2,2.1,0.33,0.9,39.3,26.9,2.57,715,4.71,煤气厂,,
R2-S1,3580.5327,7759.8192,4,4,3.8,4,,8.7,1.3,1.6,1.5,0.16,0.5,15.4,0.28,0.19,249,6,煤气厂,,
R2-S2 (R2-MW1),3533.5172,7750.7617,0.2,0.2,0,0.2,,8.24,22.5,16,30.9,3.75,11.4,4.93,1.89,0.15,529,33.4,煤气厂,,
R2-S2 (R2-MW1),3533.5172,7750.7617,1,1,0.8,1,,8.5,1.5,1,1.2,0.16,0.7,6.13,<0.0019,2.06,166,5.95,煤气厂,,
R2-S2 (R2-MW1),3533.5172,7750.7617,4,4,3.8,4,,8.54,<0.1,<0.1,<0.2,<0.05,<0.1,0.53,0.14,<0.0012,55,7.25,煤气厂,,
R2-S3,3673.6318,7686.4253,0.2,0.2,0,0.2,,8.42,1.4,1.3,1.5,0.31,1.2,4.47,2.16,0.18,268,45.1,煤气厂,,
R2-S3,3673.6318,7686.4253,1,1,0.8,1,,8.98,0.3,0.3,0.5,<0.05,0.2,1.19,2.17,0.6,184,5.56,煤气厂,,
R2-S3,3673.6318,7686.4253,5,5,4.8,5,,8.6,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,<0.0012,39,7.43,煤气厂,,
W-S1 (W-MW1),3662.626,7490.7977,0.2,0.2,0,0.2,,8.39,2.2,1.8,2.4,0.4,1.2,<0.09,<0.0019,<0.0012,303,16,煤气厂,,
W-S1 (W-MW1),3662.626,7490.7977,1,1,0.8,1,,9.04,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,<0.0012,30,7.1,煤气厂,,
W-S1 (W-MW1),3662.626,7490.7977,4,4,3.8,4,,8.89,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,<0.0012,40,12.5,煤气厂,,
W-S2,3681.8403,7526.5132,0.2,0.2,0,0.2,,8.49,1.7,1.6,2.2,0.32,0.9,0.24,<0.0019,<0.0012,383,11.1,煤气厂,,
W-S2,3681.8403,7526.5132,1,1,0.8,1,,8.35,0.3,0.4,0.5,0.06,0.2,0.63,<0.0019,<0.0012,549,20.3,煤气厂,,
W-S2,3681.8403,7526.5132,4,4,3.8,4,,8.99,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,<0.0012,34,5.71,煤气厂,,
W-S3,3707.4565,7548.6538,0.2,0.2,0,0.2,,8.43,1.9,1.7,2.5,0.33,1,0.14,<0.0019,<0.0012,407,11,煤气厂,,
W-S3,3707.4565,7548.6538,1,1,0.8,1,,8.66,0.7,0.8,1,0.1,0.3,0.8,<0.0019,<0.0012,418,19.2,煤气厂,,
W-S3,3707.4565,7548.6538,6,6,5.8,6,,8.34,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,<0.0012,52,14.8,煤气厂,,
W-S4,3728.1639,7589.6421,0.2,0.2,0,0.2,,8.5,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,<0.0012,49,8.67,煤气厂,,
W-S4,3728.1639,7589.6421,1.5,1.5,1.3,1.5,,8.6,<0.1,<0.1,<0.2,<0.05,<0.1,1.2,<0.0019,<0.0012,572,9.87,煤气厂,,
W-S4,3728.1639,7589.6421,5,5,4.8,5,,8.64,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,<0.0012,59,14.6,煤气厂,,
W-S5,3749.2015,7613.8257,0.2,0.2,0,0.2,,8.49,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,<0.0012,193,14.2,煤气厂,,
W-S5,3749.2015,7613.8257,1,1,0.8,1,,8.69,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,<0.0012,429,7.21,煤气厂,,
W-S5,3749.2015,7613.8257,5,5,4.8,5,,8.77,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,<0.0012,47,8.11,煤气厂,,
W-S6,3627.9348,7531.8834,0.2,0.2,0,0.2,,8.54,0.2,0.2,0.2,0.06,0.2,0.13,<0.0019,0.08,98,10.9,煤气厂,,
W-S6,3627.9348,7531.8834,1.5,1.5,1.3,1.5,,9.84,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,<0.0012,32,8.88,煤气厂,,
W-S6,3627.9348,7531.8834,5,5,4.8,5,,9.7,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,<0.0012,39,4.23,煤气厂,,
W-S7,3655.24433,7557.02219,0.2,0.2,0,0.2,,8.76,<0.1,<0.1,<0.2,<0.05,<0.1,0.15,<0.0019,<0.0012,210,14.1,煤气厂,,
W-S7,3655.24433,7557.02219,1,1,0.8,1,,9.3,<0.1,<0.1,<0.2,<0.05,<0.1,0.11,<0.0019,<0.0012,158,8.2,煤气厂,,
W-S7,3655.24433,7557.02219,5,5,4.8,5,,9.43,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,<0.0012,26,5.1,煤气厂,,
W-S8,3683.7531,7574.6888,0.2,0.2,0,0.2,,8.23,0.6,0.4,0.7,0.12,0.4,0.27,<0.0019,<0.0012,681,11.6,煤气厂,,
W-S8,3683.7531,7574.6888,1.5,1.5,1.3,1.5,,8.51,<0.1,<0.1,<0.2,<0.05,<0.1,0.15,<0.0019,<0.0012,438,7.03,煤气厂,,
W-S8,3683.7531,7574.6888,4,4,3.8,4,,8.98,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,<0.0012,33,8.25,煤气厂,,
W-S9 (W-MW2),3691.849,7608.7839,0.2,0.2,0,0.2,,8.55,0.3,0.2,0.6,0.07,0.2,0.72,<0.0019,<0.0012,747,52.9,煤气厂,,
W-S9 (W-MW2),3691.849,7608.7839,1.4,1.4,1.2,1.4,,8.94,3.4,2.7,4.2,0.49,1.7,1.85,<0.0019,<0.0012,1620,16,煤气厂,,
W-S9 (W-MW2),3691.849,7608.7839,5,5,4.8,5,,8.8,<0.1,<0.1,<0.2,<0.05,<0.1,<0.09,<0.0019,<0.0012,56,7.41,煤气厂,,
W-S10,3727.7818,7639.2362,0.2,0.2,0,0.2,,8.5,0.2,0.1,0.2,<0.05,<0.1,<0.09,<0.0019,<0.0012,147,9.86,煤气厂,,
