监测点位,X,Y,Z,采样深度/m,上层深度,下层深度,样品编号,pH值,苯并(a)芘,苯并(a)蒽,苯并(b)荧蒽,"二苯并(a,h)蒽","茚并(1,2,3-c,d)芘",萘,苯,乙苯,石油烃(C10-C40),砷,数据来源,2米分层（详查）,地面高程/m
JM(M-S10)1,3617.603,7733.889,4,3.5-4.0,3.5,4,,/,/,/,/,/,/,/,/,/,/,216,工作井以北,4,
JM(M-S10)1,3617.603,7733.889,6,5.5-6.0,5.5,6,,/,/,/,/,/,/,/,/,/,/,83.9,工作井以北,6,
JM(M-S10)1,3617.603,7733.889,8,7.5-8.0,7.5,8,,/,/,/,/,/,/,/,/,/,/,23.4,工作井以北,8,
JM2(S24),3606.898,7716.598,0.5,0-0.5,0,0.5,,/,0.2,0.4,0.3,0.1,0.4,1.31,0.1,/,/,529,工作井以北,2,
JM2(S24),3606.898,7716.598,1.5,1.0-1.5,1,1.5,,/,0.2,0.3,ND,ND,0.1,10.2,3.45,/,/,791,工作井以北,2,
JM2(S24),3606.898,7716.598,4,3.5-4.0,3.5,4,,/,0.4,0.8,0.5,0.1,0.3,3.23,3.77,/,/,1021,工作井以北,4,
JM2(S24),3606.898,7716.598,6,5.5-6.0,5.5,6,,/,ND,ND,ND,ND,ND,4.47,2.98,/,/,91.4,工作井以北,6,
JM2(S24),3606.898,7716.598,8,7.5-8.0,7.5,8,,/,/,/,/,/,/,/,/,/,/,6.59,工作井以北,8,
M-S10(MW3),3603.7451,7744.8732,0.2,0-0.2,0,0.2,,4.32,3,2.5,5.9,2.33,4.1,2.26,0.578,ND,476,327,工作井以北,2,
M-S10(MW3),3603.7451,7744.8732,1.5,1.0-1.5,1,1.5,,9.1,ND,ND,ND,ND,ND,11.5,2.75,0.142,463,95.5,工作井以北,2,
M-S10(MW3),3603.7451,7744.8732,4,3.5-4.0,3.5,4,,8.66,ND,ND,ND,ND,ND,2.63,3.19,ND,77,428,工作井以北,4,
M-S10(MW3),3603.7451,7744.8732,6,5.5-6.0,5.5,6,,/,/,/,/,/,/,/,/,/,/,80.7,工作井以北,6,
M-S10(MW3),3603.7451,7744.8732,8,7.5-8.0,7.5,8,,/,/,/,/,/,/,/,/,/,/,23.4,工作井以北,8,
JM(M-S10)4,3592.7604,7731.0155,0.5,0-0.5,0,0.5,,/,12.9,38.9,13.8,ND,ND,124,0.0908,/,/,388,工作井以北,2,
JM(M-S10)4,3592.7604,7731.0155,1.5,1.0-1.5,1,1.5,,/,1,2.6,1.3,ND,0.4,315,ND,/,/,290,工作井以北,2,
JM(M-S10)4,3592.7604,7731.0155,4,3.5-4.0,3.5,4,,/,/,/,/,/,/,/,ND,/,/,40.2,工作井以北,4,
JM(M-S10)4,3592.7604,7731.0155,6,5.5-6.0,5.5,6,,/,/,/,/,/,/,/,/,/,/,9.12,工作井以北,6,
JM(M-S10)3,3590.0557,7753.1854,0.5,0-0.5,0,0.5,,/,13.8,9.9,17.6,2,5.5,2.62,1.45,/,/,88.9,工作井以北,2,
JM(M-S10)3,3590.0557,7753.1854,1.5,1.0-1.5,1,1.5,,/,7.2,11.2,7.4,ND,ND,346,31.1,/,/,68.1,工作井以北,2,
JM(M-S10)3,3590.0557,7753.1854,4,3.5-4.0,3.5,4,,/,0.6,1.1,0.6,ND,0.2,25.2,10.4,/,/,111,工作井以北,4,
JM(M-S10)3,3590.0557,7753.1854,6,5.5-6.0,5.5,6,,/,/,/,/,/,/,/,/,/,/,16,工作井以北,6,
JM2(S26),3579.6461,7736.2494,0.5,0-0.5,0,0.5,,/,4.4,3.7,5.1,2.1,9.1,5.93,0.2,/,/,28.7,工作井以北,2,
JM2(S26),3579.6461,7736.2494,1.5,1.0-1.5,1,1.5,,/,0.6,0.6,0.7,ND,0.9,76.9,8.74,/,/,53,工作井以北,2,
JM2(S26),3579.6461,7736.2494,4,3.5-4.0,3.5,4,,/,ND,ND,ND,ND,ND,ND,1.37,/,/,5.41,工作井以北,4,
R2-S1,3580.5327,7759.8192,0.2,0-0.2,0,0.2,,8.22,31.7,20.3,37.9,5.18,17.3,16.8,1.09,0.0408,407,31.3,工作井以北,2,
R2-S1,3580.5327,7759.8192,1.5,1.0-1.5,1,1.5,,8.03,1.6,2,2.1,0.33,0.9,39.3,26.9,2.57,715,4.71,工作井以北,2,
R2-S1,3580.5327,7759.8192,4,3.5-4.0,3.5,4,,8.7,1.3,1.6,1.5,0.16,0.5,15.4,0.278,0.185,249,6,工作井以北,4,
JM(R2-S1)4,3567.9898,7748.2583,0.5,0-0.5,0,0.5,,/,ND,ND,ND,ND,ND,0.85,12.8,/,/,25.6,工作井以北,2,
JM(R2-S1)4,3567.9898,7748.2583,1.5,1.0-1.5,1,1.5,,/,ND,ND,ND,ND,ND,1.05,5.78,/,/,29,工作井以北,2,
JM(R2-S1)4,3567.9898,7748.2583,4,3.5-4.0,3.5,4,,/,5,6,5.4,0.8,2.2,30.6,13.8,/,/,5.87,工作井以北,4,
JM(R2-S1)4,3567.9898,7748.2583,6,5.5-6.0,5.5,6,,/,ND,ND,ND,ND,ND,ND,0.697,/,/,1,工作井以北,6,
JM(R2-S1)3,3570.9849,7766.3224,0.5,0-0.5,0,0.5,,/,3.4,5.7,3.6,0.5,1.2,77.2,1.09,/,/,,工作井以北,2,
JM(R2-S1)3,3570.9849,7766.3224,1.5,1.0-1.5,1,1.5,,/,0.7,1.1,1,ND,0.3,28.3,3.4,/,/,,工作井以北,2,
JM(R2-S1)3,3570.9849,7766.3224,4,3.5-4.0,3.5,4,,/,0.2,0.3,0.2,ND,ND,11.8,2.8,/,/,,工作井以北,4,
JM(E-S1)2,3569.5676,7785.8073,0.5,0-0.5,0,0.5,,/,4.9,2.9,6.6,ND,3.8,2.14,/,/,/,,工作井以北,2,
JM(E-S1)2,3569.5676,7785.8073,1.5,1.0-1.5,1,1.5,,/,7.2,4,9.2,ND,4.9,3.85,/,/,/,,工作井以北,2,
JM(E-S1)2,3569.5676,7785.8073,4,3.5-4.0,3.5,4,,/,ND,ND,ND,ND,ND,ND,/,/,/,,工作井以北,4,
E-S1,3559.9383,7773.6595,0.2,0-0.2,0,0.2,,8.37,6.7,4.7,7.7,1.26,4.2,2.19,0.447,ND,586,12.6,工作井以北,2,
E-S1,3559.9383,7773.6595,1.5,1.0-1.5,1,1.5,,8.54,ND,ND,ND,ND,ND,ND,ND,ND,51,5.27,工作井以北,2,
E-S1,3559.9383,7773.6595,4,3.5-4.0,3.5,4,,8.63,ND,ND,ND,ND,ND,0.27,0.938,ND,31,5.6,工作井以北,4,
JM(E-S1)4,3546.5365,7762.7074,0.5,0-0.5,0,0.5,,/,76.3,61.8,48,4.6,24.7,64.7,ND,/,/,,工作井以北,2,
JM(E-S1)4,3546.5365,7762.7074,1.5,1.0-1.5,1,1.5,,/,0.5,0.5,0.4,ND,0.2,0.77,ND,/,/,,工作井以北,2,
JM(E-S1)4,3546.5365,7762.7074,4,3.5-4.0,3.5,4,,/,ND,ND,ND,ND,ND,ND,/,/,/,,工作井以北,4,
JM2(S26),3579.6461,7736.2494,0.5,0-0.5,0,0.5,,/,4.4,3.7,5.1,2.1,9.1,5.93,0.2,/,/,28.7,工作井以北,2,
JM2(S26),3579.6461,7736.2494,1.5,1.0-1.5,1,1.5,,/,0.6,0.6,0.7,ND,0.9,76.9,8.74,/,/,53,工作井以北,2,
JM2(S26),3579.6461,7736.2494,4,3.5-4.0,3.5,4,,/,ND,ND,ND,ND,ND,ND,1.37,/,/,5.41,工作井以北,4,
JM(E-S1)3,3547.7738,7783.2677,0.5,0-0.5,0,0.5,,/,ND,ND,ND,ND,ND,ND,/,/,/,,工作井以北,2,
JM(E-S1)3,3547.7738,7783.2677,1.5,1.0-1.5,1,1.5,,/,ND,ND,ND,ND,ND,0.22,/,/,/,,工作井以北,2,
JM2(S30),3533.0117,7775.3852,0.5,0-0.5,0,0.5,,/,2.5,4.1,3.5,0.6,1.6,ND,/,/,/,,工作井以北,2,
JM2(S30),3533.0117,7775.3852,1.5,1.0-1.5,1,1.5,,/,13.8,24.4,14,2.5,7.5,4.49,/,/,/,,工作井以北,2,
JM2(S30),3533.0117,7775.3852,4,3.5-4.0,3.5,4,,/,ND,ND,ND,ND,ND,ND,/,/,/,,工作井以北,4,
JM2(S30),3533.0117,7775.3852,6,5.5-6.0,5.5,6,,/,ND,ND,ND,ND,ND,ND,/,/,/,,工作井以北,6,
JM3(S8),3546.4672,7806.8301,0.5,0-0.5,0,0.5,,/,1.1,1.3,1.3,0.2,0.7,0.28,/,/,/,,工作井以北,2,
JM3(S8),3546.4672,7806.8301,1.5,1.0-1.5,1,1.5,,/,1.8,2.4,2.7,0.4,1.1,10.2,/,/,/,,工作井以北,2,
JM3(S8),3546.4672,7806.8301,4,3.5-4.0,3.5,4,,/,ND,ND,ND,ND,ND,0.52,/,/,/,,工作井以北,4,
JM3(S8),3546.4672,7806.8301,6,5.5-6.0,5.5,6,,/,ND,ND,ND,ND,ND,ND,/,/,/,,工作井以北,6,
JM(E-S4)1,3535.6093,7792.8759,0.5,0-0.5,0,0.5,,/,0.5,0.8,0.5,0.1,0.4,0.23,/,/,/,,工作井以北,2,
JM(E-S4)1,3535.6093,7792.8759,1.5,1.0-1.5,1,1.5,,/,ND,ND,ND,ND,ND,12,/,/,/,,工作井以北,2,
JM(E-S4)1,3535.6093,7792.8759,4,3.5-4.0,3.5,4,,/,1.256387723,2.8,1.5,0.2,0.7,51.16687823,/,/,/,,工作井以北,4,
JM2(S28),3558.3008,7797.2316,0.5,0-0.5,0,0.5,,/,1.4,3.1,1.9,0.3,0.8,ND,0.0589,/,/,,工作井以北,2,
JM2(S28),3558.3008,7797.2316,1.5,1.0-1.5,1,1.5,,/,2.9,4.2,2.9,0.4,1.5,0.84,0.0505,/,/,,工作井以北,2,
JM2(S28),3558.3008,7797.2316,4,3.5-4.0,3.5,4,,/,ND,ND,ND,ND,ND,ND,/,/,/,,工作井以北,4,
JM(E-S1)3,3547.7738,7783.2677,0.5,0-0.5,0,0.5,,/,ND,ND,ND,ND,ND,ND,/,/,/,,工作井以北,2,
